model_id,requested_model_id,device,actual_dtype,prompt_idx,prompt_text,requested_context_length,effective_context_length,layer_idx,head_idx,sketch_dim,theta,false_elimination_rate,elimination_rate,resurrection_rate,top8_overlap,top16_overlap,top32_overlap,topk_overlap,rank_correlation,rank_corr_sample_size,eliminated_count,false_eliminated_count,total_tokens,survivor_count
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,64,0.1,0.0,0.0,1.0,0.5,0.5,0.4375,0.4375,0.9112771067073762,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,64,0.2,0.0,0.0,1.0,0.5,0.5,0.4375,0.4375,0.9112771067073762,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,64,0.3,0.0,0.0,1.0,0.5,0.5,0.4375,0.4375,0.9112771067073762,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,64,0.5,0.0,0.0,1.0,0.5,0.5,0.4375,0.4375,0.9112771067073762,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,128,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9251975703931725,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,128,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9251975703931725,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,128,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9251975703931725,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,128,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9251975703931725,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,0,128,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9251975703931725,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,16,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9306203990301969,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,16,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9306203990301969,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,16,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9306203990301969,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,16,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9306203990301969,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,16,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9306203990301969,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,32,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.954208299454952,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,32,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.954208299454952,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,32,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.954208299454952,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,32,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.954208299454952,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,32,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.954208299454952,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,64,0.05,0.0,0.0,1.0,0.0,0.0,0.0625,0.0625,0.9736418356720847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,64,0.1,0.0,0.0,1.0,0.0,0.0,0.0625,0.0625,0.9736418356720847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,64,0.2,0.0,0.0,1.0,0.0,0.0,0.0625,0.0625,0.9736418356720847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,64,0.3,0.0,0.0,1.0,0.0,0.0,0.0625,0.0625,0.9736418356720847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,64,0.5,0.0,0.0,1.0,0.0,0.0,0.0625,0.0625,0.9736418356720847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,128,0.05,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9901181643655306,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,128,0.1,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9901181643655306,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,128,0.2,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9901181643655306,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,128,0.3,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9901181643655306,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,4,128,0.5,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9901181643655306,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,16,0.05,0.0,0.0,1.0,0.75,0.75,0.65625,0.65625,0.798742361040054,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,16,0.1,0.0,0.0,1.0,0.75,0.75,0.65625,0.65625,0.798742361040054,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,16,0.2,0.0,0.0,1.0,0.75,0.75,0.65625,0.65625,0.798742361040054,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,16,0.3,0.0,0.0,1.0,0.75,0.75,0.65625,0.65625,0.798742361040054,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,16,0.5,0.0,0.0,1.0,0.75,0.75,0.65625,0.65625,0.798742361040054,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,32,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.853677537425584,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,32,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.853677537425584,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,32,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.853677537425584,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,32,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.853677537425584,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,32,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.853677537425584,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,64,0.05,0.0,0.0,1.0,0.125,0.25,0.25,0.25,0.9465114178161581,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,64,0.1,0.0,0.0,1.0,0.125,0.25,0.25,0.25,0.9465114178161581,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,64,0.2,0.0,0.0,1.0,0.125,0.25,0.25,0.25,0.9465114178161581,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,64,0.3,0.0,0.0,1.0,0.125,0.25,0.25,0.25,0.9465114178161581,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,64,0.5,0.0,0.0,1.0,0.125,0.25,0.25,0.25,0.9465114178161581,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,128,0.05,0.0,0.0,1.0,0.875,0.8125,0.875,0.875,0.9546225287681642,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,128,0.1,0.0,0.0,1.0,0.875,0.8125,0.875,0.875,0.9546225287681642,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,128,0.2,0.0,0.0,1.0,0.875,0.8125,0.875,0.875,0.9546225287681642,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,128,0.3,0.0,0.0,1.0,0.875,0.8125,0.875,0.875,0.9546225287681642,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,0,8,128,0.5,0.0,0.0,1.0,0.875,0.8125,0.875,0.875,0.9546225287681642,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,16,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9175344432553064,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,16,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9175344432553064,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,16,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9175344432553064,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,16,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9175344432553064,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,16,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9175344432553064,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,32,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9615987661595496,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,32,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9615987661595496,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,32,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9615987661595496,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,32,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9615987661595496,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,32,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9615987661595496,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,64,0.05,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9670515488208293,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,64,0.1,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9670515488208293,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,64,0.2,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9670515488208293,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,64,0.3,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9670515488208293,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,64,0.5,0.0,0.0,1.0,0.0,0.0625,0.15625,0.15625,0.9670515488208293,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,128,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9814469144861033,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,128,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9814469144861033,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,128,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9814469144861033,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,128,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9814469144861033,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,0,128,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9814469144861033,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,16,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3605031213095689,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,16,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3605031213095689,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,16,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3605031213095689,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,16,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3605031213095689,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,16,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3605031213095689,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,32,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6005125787587566,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,32,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6005125787587566,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,32,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6005125787587566,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,32,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6005125787587566,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,32,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6005125787587566,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,64,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8819733222910792,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,64,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8819733222910792,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,64,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8819733222910792,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,64,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8819733222910792,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,64,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8819733222910792,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,128,0.05,0.0,0.0,1.0,0.375,0.3125,0.40625,0.40625,0.8828685256469889,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,128,0.1,0.0,0.0,1.0,0.375,0.3125,0.40625,0.40625,0.8828685256469889,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,128,0.2,0.0,0.0,1.0,0.375,0.3125,0.40625,0.40625,0.8828685256469889,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,128,0.3,0.0,0.0,1.0,0.375,0.3125,0.40625,0.40625,0.8828685256469889,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,4,128,0.5,0.0,0.0,1.0,0.375,0.3125,0.40625,0.40625,0.8828685256469889,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,16,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5382236872903847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,16,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5382236872903847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,16,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5382236872903847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,16,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5382236872903847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,16,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5382236872903847,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,32,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6718075419263015,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,32,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6718075419263015,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,32,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6718075419263015,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,32,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6718075419263015,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,32,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6718075419263015,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,64,0.05,0.0,0.0,1.0,0.0,0.0,0.21875,0.21875,0.7891070175621399,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,64,0.1,0.0,0.0,1.0,0.0,0.0,0.21875,0.21875,0.7891070175621399,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,64,0.2,0.0,0.0,1.0,0.0,0.0,0.21875,0.21875,0.7891070175621399,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,64,0.3,0.0,0.001953125,0.998046875,0.0,0.0,0.21875,0.21875,0.7891070175621399,20000,1,0,512,511
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,64,0.5,0.0,0.001953125,0.998046875,0.0,0.0,0.21875,0.21875,0.7891070175621399,20000,1,0,512,511
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,128,0.05,0.0,0.0,1.0,0.0,0.0,0.375,0.375,0.7325499899604956,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,128,0.1,0.0,0.0,1.0,0.0,0.0,0.375,0.375,0.7325499899604956,20000,0,0,512,512
gpt2,meta-llama/Llama-3.2-1B-Instruct,cpu,float32,0,The attention mechanism in transformers allows each token to,512,512,4,8,128,0.2,0.0,0.0,1.0,0.0,0.0,0.375,0.375,0.7325499899604956,20000,0,0,512,512
